gene_id	gene_name	cancer_gene	self_rbp	shRNA_KD	uorftx_number	alltx_number	eps	uorftx_tpm_control	uorftx_tpm_smg6	uorftx_tpm_upf1	gene_tpm_control	gene_tpm_smg6	gene_tpm_upf1	frac_control	frac_smg6	frac_upf1
ENSG00000159596.6	TMEM69	FALSE	FALSE	FALSE	1	1	0	3.530299	5.670993	4.107041	3.530299	5.670993	4.107041	1	1	1
ENSG00000085999.7	RAD54L	FALSE	FALSE	FALSE	1	1	0	6.983505	4.165849	6.818123	6.983505	4.165849	6.818123	1	1	1
ENSG00000123080.6	CDKN2C	TRUE	FALSE	FALSE	3	3	0	41.000397	27.383701000000002	31.201061	41.000397	27.383701000000002	31.201061	1	1	1
ENSG00000117859.14	OSBPL9	FALSE	FALSE	FALSE	2	6	0	64.942081	65.038845	88.444147	72.628012	94.30081200000001	107.537696	0.8941740137400429	0.6896954927599138	0.8224478512167491
ENSG00000134748.12	PRPF38A	FALSE	FALSE	FALSE	1	1	0	75.408003	96.307722	81.989416	75.408003	96.307722	81.989416	1	1	1
ENSG00000116221.11	MRPL37	FALSE	FALSE	FALSE	1	1	0	60.163564	62.626308	74.527965	60.163564	62.626308	74.527965	1	1	1
ENSG00000162599.11	NFIA	FALSE	FALSE	FALSE	1	3	0	6.257205	5.57223	5.360916	18.766227	19.431166	26.959204999999997	0.3334290371740681	0.2867676597482621	0.1988528964411228
ENSG00000162607.8	USP1	FALSE	FALSE	FALSE	1	2	0	7.279773	10.614911	10.503343	12.798789	13.547528	15.874020999999999	0.5687860781203596	0.7835312095313625	0.661668710152267
ENSG00000125703.10	ATG4C	FALSE	FALSE	FALSE	2	2	0	42.344347	69.460594	73.245334	42.344347	69.460594	73.245334	1	1	1
ENSG00000116678.14	LEPR	FALSE	FALSE	FALSE	2	2	0	4.756513	5.955972	4.536011	4.756513	5.955972	4.536011	1	1	1
ENSG00000162623.11	TYW3	FALSE	FALSE	FALSE	3	3	0	57.703921	66.432565	70.09224999999999	57.703921	66.432565	70.09224999999999	1	1	1
ENSG00000117054.9	ACADM	FALSE	FALSE	FALSE	1	2	0	210.074615	172.503907	154.571052	211.620701	174.389412	155.573477	0.9926940701325812	0.9891879617095103	0.9935565816273426
ENSG00000137955.11	RABGGTB	FALSE	FALSE	FALSE	1	1	0	137.401804	323.010861	367.018311	137.401804	323.010861	367.018311	1	1	1
ENSG00000142875.15	PRKACB	FALSE	FALSE	FALSE	2	4	0	4.729097	3.581386	4.391519	5.315273	6.790643	6.623709	0.8897185525560023	0.5274001298551552	0.6629999898848213
ENSG00000097033.10	SH3GLB1	FALSE	FALSE	FALSE	1	2	0	30.814605	37.429087	47.276112	31.043949	38.173929	47.49052	0.9926122800936182	0.9804882017777107	0.9954852463186338
ENSG00000143013.8	LMO4	FALSE	FALSE	FALSE	1	2	0	5.769629	7.000606	7.17584	14.72469	22.165425	19.924415	0.39183364811075816	0.3158345035116629	0.3601531086358119
ENSG00000143033.13	MTF2	FALSE	FALSE	FALSE	4	4	0	107.313486	72.447777	97.447997	107.313486	72.447777	97.447997	1	1	1
ENSG00000134186.7	PRPF38B	FALSE	FALSE	FALSE	1	2	0	17.03466	22.674326	43.159982	18.274741	24.867622	48.662531	0.9321423488300054	0.911801136433552	0.8869243155478287
ENSG00000121957.8	GPSM2	FALSE	FALSE	FALSE	1	1	0	8.610732	9.566838	10.313845	8.610732	9.566838	10.313845	1	1	1
ENSG00000065135.7	GNAI3	FALSE	FALSE	FALSE	1	1	0	120.157784	106.923309	125.356648	120.157784	106.923309	125.356648	1	1	1
ENSG00000116337.11	AMPD2	FALSE	FALSE	FALSE	2	4	0	0.735662	1.123953	1.894738	4.144389	3.781141	10.335449	0.17750795111173204	0.2972523373235751	0.18332420778236147
ENSG00000134255.9	CEPT1	FALSE	FALSE	FALSE	1	2	0	17.66525	35.045326	33.669409	19.661165	36.059124000000004	35.517624000000005	0.898484398050675	0.9718851184515741	0.9479634392210469
ENSG00000155363.14	MOV10	FALSE	FALSE	FALSE	1	5	0	1.427485	2.952627	3.235304	3.8869569999999998	5.562301	8.516786	0.3672500107410501	0.5308283388475381	0.37987381624946315
ENSG00000198799.7	LRIG2	FALSE	FALSE	FALSE	1	1	0	0.265761	1.051253	0.994626	0.265761	1.051253	0.994626	1	1	1
ENSG00000118655.4	DCLRE1B	FALSE	FALSE	FALSE	1	1	0	4.264707	4.250599	4.145514	4.264707	4.250599	4.145514	1	1	1
ENSG00000163399.11	ATP1A1	TRUE	FALSE	FALSE	1	3	0	1.144281	4.126712	4.002459	10.178144	18.77642	13.339534	0.11242531054777768	0.21978161971238394	0.3000448891243127
ENSG00000198162.8	MAN1A2	FALSE	FALSE	FALSE	1	1	0	2.456529	3.251763	2.870948	2.456529	3.251763	2.870948	1	1	1
ENSG00000188610.8	FAM72B	FALSE	FALSE	FALSE	1	2	0	9.507851	8.346896	13.751589	24.065404	30.437120999999998	32.968450000000004	0.3950837891605726	0.2742340840975071	0.41711360406691844
ENSG00000213240.7	NOTCH2NL	FALSE	FALSE	FALSE	1	2	0	4.899829	11.50338	15.034892	5.6897150000000005	11.50338	15.464087999999999	0.8611730113019721	1	0.972245631297494
ENSG00000117289.7	TXNIP	FALSE	FALSE	FALSE	1	1	0	5.395577	12.338158	25.719047	5.395577	12.338158	25.719047	1	1	1
ENSG00000121848.9	RNF115	FALSE	FALSE	FALSE	1	1	0	17.067282	31.896561	40.239844	17.067282	31.896561	40.239844	1	1	1
ENSG00000116128.5	BCL9	TRUE	FALSE	FALSE	1	1	0	1.275489	1.939094	2.137772	1.275489	1.939094	2.137772	1	1	1
ENSG00000187145.10	MRPS21	FALSE	FALSE	FALSE	2	2	0	973.237744	930.54638	811.614143	973.237744	930.54638	811.614143	1	1	1
ENSG00000117360.8	PRPF3	FALSE	FALSE	FALSE	3	3	0	60.263518999999995	84.53223	106.51725800000001	60.263518999999995	84.53223	106.51725800000001	1	1	1
ENSG00000143363.11	PRUNE	FALSE	FALSE	FALSE	2	4	0	9.472370999999999	13.233718	11.991917	26.519777	32.151598	23.370801	0.3571813971135579	0.41160374050459325	0.5131153613434131
ENSG00000213190.2	MLLT11	TRUE	FALSE	FALSE	1	1	0	7.289955	5.957719	8.061552	7.289955	5.957719	8.061552	1	1	1
ENSG00000143398.15	PIP5K1A	FALSE	FALSE	FALSE	1	1	0	12.893988	15.436112	20.889387	12.893988	15.436112	20.889387	1	1	1
ENSG00000160679.8	CHTOP	FALSE	FALSE	FALSE	2	4	0	71.241923	115.299667	122.413523	1110.224641	785.922359	752.721681	0.06416892615158593	0.14670617991668564	0.16262786909149757
ENSG00000143578.11	CREB3L4	FALSE	FALSE	FALSE	3	3	0	1.294085	4.441617	4.314288	1.294085	4.441617	4.314288	1	1	1
ENSG00000173207.8	CKS1B	FALSE	FALSE	FALSE	1	2	0	339.013415	379.126599	457.061437	944.720353	933.8627180000001	1038.121266	0.3588505465383998	0.4059768011854607	0.4402775012606282
ENSG00000132718.7	SYT11	FALSE	FALSE	FALSE	2	2	0	12.604358	7.358655000000001	8.191785	12.604358	7.358655000000001	8.191785	1	1	1
ENSG00000160785.9	SLC25A44	FALSE	FALSE	FALSE	2	2	0	4.4228250000000005	7.769508	8.298452	4.4228250000000005	7.769508	8.298452	1	1	1
ENSG00000143294.10	PRCC	TRUE	FALSE	FALSE	2	2	0	10.080748	10.731926	10.575989	10.080748	10.731926	10.575989	1	1	1
ENSG00000158793.9	NIT1	FALSE	FALSE	FALSE	2	2	0	17.821846999999998	29.091946999999998	32.709173	17.821846999999998	29.091946999999998	32.709173	1	1	1
ENSG00000152332.11	UHMK1	FALSE	FALSE	FALSE	1	1	0	0.416529	1.234673	0.908892	0.416529	1.234673	0.908892	1	1	1
ENSG00000143228.8	NUF2	FALSE	FALSE	FALSE	2	2	0	61.482664	56.670647	68.010904	61.482664	56.670647	68.010904	1	1	1
ENSG00000143157.7	POGK	FALSE	FALSE	FALSE	1	1	0	3.939571	2.552419	2.769654	3.939571	2.552419	2.769654	1	1	1
ENSG00000143164.11	DCAF6	FALSE	FALSE	FALSE	2	3	0	1.606979	0	0.950226	14.273672000000001	21.676503	26.758819	0.11258343333096066	0	0.03551076002270504
ENSG00000010165.15	METTL13	FALSE	FALSE	FALSE	2	2	0	24.218588	17.736753	17.252993	24.218588	17.736753	17.252993	1	1	1
ENSG00000117593.8	DARS2	FALSE	FALSE	FALSE	2	2	0	74.590079	72.28933500000001	61.36952	74.590079	72.28933500000001	61.36952	1	1	1
ENSG00000185278.10	ZBTB37	FALSE	FALSE	FALSE	3	3	0	1.13236	1.239602	1.97261	1.13236	1.239602	1.97261	1	1	1
ENSG00000116199.7	FAM20B	FALSE	FALSE	FALSE	1	1	0	3.70149	4.77704	4.737947	3.70149	4.77704	4.737947	1	1	1
ENSG00000057252.8	SOAT1	FALSE	FALSE	FALSE	3	3	0	18.043117	23.511185	23.452234	18.043117	23.511185	23.452234	1	1	1
ENSG00000135829.12	DHX9	FALSE	FALSE	FALSE	1	1	0	175.895903	316.483153	332.888679	175.895903	316.483153	332.888679	1	1	1
ENSG00000135862.5	LAMC1	FALSE	FALSE	FALSE	1	1	0	0.618694	1.50849	1.097891	0.618694	1.50849	1.097891	1	1	1
ENSG00000116667.8	C1orf21	FALSE	FALSE	FALSE	1	1	0	20.708526	22.426049	22.630169	20.708526	22.426049	22.630169	1	1	1
ENSG00000157181.10	C1orf27	FALSE	FALSE	FALSE	2	2	0	10.007217	26.868029999999997	49.373812	10.007217	26.868029999999997	49.373812	1	1	1
ENSG00000116747.8	TROVE2	FALSE	TRUE	TRUE	1	2	0	2.844839	3.3486	3.340133	34.476951	31.001345	31.99541	0.08251422812881568	0.10801466839583895	0.10439413028306248
ENSG00000058668.10	ATP2B4	FALSE	FALSE	FALSE	2	3	0	0.230585	0.206029	0.393084	0.586045	1.245067	1.949946	0.39345954662184646	0.1654762354154435	0.2015871208741165
ENSG00000058673.11	ZC3H11A	FALSE	TRUE	FALSE	4	5	0	10.993591	14.368627	14.145724000000001	10.993591	14.368627	15.464043	1	1	0.9147493963900645
ENSG00000162772.12	ATF3	FALSE	FALSE	FALSE	1	3	0	14.130705	23.023437	37.306644	309.260982	423.51070799999997	719.912352	0.045691845471796375	0.05436329369032153	0.051821091687561424
ENSG00000163041.5	H3F3A	TRUE	FALSE	FALSE	3	4	0	1993.3767619999999	1875.895134	1541.1951860000001	1993.705176	1876.11214	1541.402875	0.999835274541114	0.9998843320740946	0.9998652597556626
ENSG00000143801.12	PSEN2	FALSE	FALSE	FALSE	1	1	0	5.214775	11.258981	12.508282	5.214775	11.258981	12.508282	1	1	1
ENSG00000181450.13	ZNF678	FALSE	FALSE	FALSE	2	2	0	9.573806	18.61914	24.735675999999998	9.573806	18.61914	24.735675999999998	1	1	1
ENSG00000143761.9	ARF1	FALSE	FALSE	FALSE	2	2	0	441.725293	432.286232	573.055993	441.725293	432.286232	573.055993	1	1	1
ENSG00000168159.9	RNF187	FALSE	FALSE	FALSE	1	1	0	24.932284	17.99399	18.886163	24.932284	17.99399	18.886163	1	1	1
ENSG00000116918.9	TSNAX	FALSE	FALSE	FALSE	1	1	0	27.040768	59.099666	24.658866	27.040768	59.099666	24.658866	1	1	1
ENSG00000116984.8	MTR	FALSE	FALSE	FALSE	1	2	0	2.065743	0	1.030375	2.065743	1.234673	1.030375	1	0	1
ENSG00000174371.12	EXO1	FALSE	FALSE	FALSE	2	3	0	23.97567	43.318949	59.562777999999994	69.96497600000001	118.315736	160.207128	0.34268102943392703	0.3661300725036271	0.3717860668471629
ENSG00000054282.11	SDCCAG8	FALSE	FALSE	FALSE	3	3	0	73.960732	115.310372	159.816308	73.960732	115.310372	159.816308	1	1	1
ENSG00000078808.12	SDF4	FALSE	FALSE	FALSE	2	2	0	12.114887	13.011026000000001	16.094552	12.114887	13.011026000000001	16.094552	1	1	1
ENSG00000160087.16	UBE2J2	FALSE	FALSE	FALSE	5	6	0	39.407846	55.026285	79.79185799999999	39.407846	55.874684	79.79185799999999	1	0.9848160394070417	1
ENSG00000127054.14	CPSF3L	FALSE	FALSE	FALSE	1	4	0	0	0.315503	0.198616	1.161838	1.462726	6.325087	0	0.21569521564530883	0.03140130720731588
ENSG00000175756.9	AURKAIP1	FALSE	FALSE	FALSE	2	3	0	6.195791	3.419141	2.704316	10.993905	7.494273	7.387499	0.5635659940667124	0.4562338468321077	0.36606651317313205
ENSG00000078369.13	GNB1	FALSE	FALSE	FALSE	1	1	0	108.731624	116.659434	122.207871	108.731624	116.659434	122.207871	1	1	1
ENSG00000142599.13	RERE	FALSE	FALSE	FALSE	2	3	0	3.926499	5.894257	6.4038889999999995	7.970073999999999	10.144938	9.85627	0.4926552752207822	0.5810047335922605	0.6497274323856793
ENSG00000074800.9	ENO1	FALSE	FALSE	FALSE	1	1	0	3203.149795	2515.485607	2876.468149	3203.149795	2515.485607	2876.468149	1	1	1
ENSG00000178585.10	CTNNBIP1	FALSE	FALSE	FALSE	3	4	0	10.546157000000001	10.939124	5.064125	214.33190199999999	130.72854	89.059853	0.04920479360090782	0.08367816239667328	0.05686204085695043
ENSG00000130940.10	CASZ1	FALSE	FALSE	FALSE	1	1	0	0.222155	0	0	0.222155	0	0	1	NaN	NaN
ENSG00000075151.15	EIF4G3	FALSE	FALSE	FALSE	5	9	0	32.533359000000004	27.361225	38.441009	127.578283	101.517948	147.744306	0.2550070296838844	0.2695210604532708	0.2601860609098533
ENSG00000169641.9	LUZP1	FALSE	FALSE	FALSE	3	4	0	4.786521	4.813226	6.235599	6.318616	7.020213	6.235599	0.7575268065031963	0.6856239262256003	1
ENSG00000125944.14	HNRNPR	FALSE	FALSE	FALSE	1	5	0	444.804185	350.340461	328.205466	570.323825	447.565126	422.551191	0.7799151385618512	0.7827697929261808	0.7767235615246437
ENSG00000001460.13	STPG1	FALSE	FALSE	FALSE	4	4	0	21.515258	22.407935000000002	17.321138	21.515258	22.407935000000002	17.321138	1	1	1
ENSG00000142751.10	GPN2	FALSE	FALSE	FALSE	1	1	0	1.89182	3.141051	4.66245	1.89182	3.141051	4.66245	1	1	1
ENSG00000158195.6	WASF2	FALSE	FALSE	FALSE	1	2	0	11.101326	11.611949	12.68154	26.880951	26.275097	23.710271	0.41298114787679946	0.44193743604447966	0.5348542831922926
ENSG00000126709.10	IFI6	FALSE	FALSE	FALSE	1	1	0	3.548544	3.361043	2.254012	3.548544	3.361043	2.254012	1	1	1
ENSG00000120656.7	TAF12	FALSE	FALSE	FALSE	1	2	0	6.686225	18.949313	17.893883	8.398699	21.488367	19.960147	0.7961024677750684	0.8818405326007323	0.8964805219119879
ENSG00000116353.11	MECR	FALSE	FALSE	FALSE	1	2	0	3.017261	4.373759	8.286805	5.35291	16.19604	19.705055	0.5636674257553369	0.2700511359566906	0.42054208932682496
ENSG00000184007.13	PTP4A2	FALSE	FALSE	FALSE	1	2	0	82.406845	101.127786	107.547084	214.841716	259.108115	282.141919	0.38357003720823013	0.3902918517237486	0.3811808056781524
ENSG00000134684.6	YARS	FALSE	FALSE	FALSE	1	1	0	2.394081	3.839144	3.74763	2.394081	3.839144	3.74763	1	1	1
ENSG00000134686.12	PHC2	FALSE	FALSE	FALSE	2	5	0	7.364218999999999	14.009762	12.170978999999999	8.218524	16.207681	14.608507	0.8960512860946807	0.8643902850753293	0.8331432500254817
ENSG00000163867.12	ZMYM6	FALSE	FALSE	FALSE	1	1	0	6.06475	6.864796	6.089044	6.06475	6.864796	6.089044	1	1	1
ENSG00000181817.5	LSM10	FALSE	FALSE	FALSE	1	1	0	17.446454	19.811546	18.979895	17.446454	19.811546	18.979895	1	1	1
ENSG00000090621.9	PABPC4	FALSE	TRUE	TRUE	2	2	0	21.705296	25.759635	23.734959	21.705296	25.759635	23.734959	1	1	1
ENSG00000066322.8	ELOVL1	FALSE	FALSE	FALSE	1	1	0	18.45284	25.306307	36.966475	18.45284	25.306307	36.966475	1	1	1
ENSG00000070785.12	EIF2B3	FALSE	FALSE	FALSE	2	2	0	64.644591	91.61333400000001	74.83103299999999	64.644591	91.61333400000001	74.83103299999999	1	1	1
ENSG00000159592.6	GPBP1L1	FALSE	FALSE	FALSE	2	2	0	19.028065	21.590864	22.744556	19.028065	21.590864	22.744556	1	1	1
ENSG00000117461.10	PIK3R3	FALSE	FALSE	FALSE	1	3	0	2.565221	2.84408	4.587357	7.4354890000000005	10.291511	11.562849	0.34499694640123874	0.2763520342153839	0.3967324143037758
ENSG00000121310.12	ECHDC2	FALSE	FALSE	FALSE	2	4	0	0.425235	2.085065	1.5472130000000002	1.792073	9.233827	1.5472130000000002	0.23728665071121544	0.22580724113631329	1
ENSG00000177606.5	JUN	TRUE	FALSE	FALSE	1	1	0	49.884371	60.832016	58.643075	49.884371	60.832016	58.643075	1	1	1
ENSG00000172380.5	GNG12	FALSE	FALSE	FALSE	1	1	0	12.615609	8.465543	6.982053	12.615609	8.465543	6.982053	1	1	1
ENSG00000116729.9	WLS	FALSE	FALSE	FALSE	2	2	0	9.346946	10.341755	10.090098000000001	9.346946	10.341755	10.090098000000001	1	1	1
ENSG00000118454.8	ANKRD13C	FALSE	FALSE	FALSE	2	2	0	4.220678	5.92352	7.311234	4.220678	5.92352	7.311234	1	1	1
ENSG00000036549.8	ZZZ3	FALSE	FALSE	FALSE	2	2	0	11.801746000000001	19.304839	20.584551	11.801746000000001	19.304839	20.584551	1	1	1
ENSG00000077254.10	USP33	FALSE	FALSE	FALSE	2	2	0	35.494965	48.548317	55.39473100000001	35.494965	48.548317	55.39473100000001	1	1	1
ENSG00000122417.11	ODF2L	FALSE	FALSE	FALSE	1	2	0	8.926675	15.092381	13.42994	10.675811	16.566999	14.317149	0.8361589578534128	0.9109906386787372	0.9380317268472934
ENSG00000213516.5	RBMXL1	FALSE	FALSE	FALSE	2	2	0	192.006609	210.457925	244.50567	192.006609	210.457925	244.50567	1	1	1
ENSG00000156869.8	FRRS1	FALSE	FALSE	FALSE	1	1	0	29.610544	40.232467	37.231918	29.610544	40.232467	37.231918	1	1	1
ENSG00000156876.8	SASS6	FALSE	FALSE	FALSE	1	2	0	14.239046	20.586756	19.4346	48.903888	43.510279	55.745963	0.29116388455658165	0.47314695453917915	0.34862793562288985
ENSG00000162694.9	EXTL2	FALSE	FALSE	FALSE	2	2	0	5.357188000000001	8.651112	8.789356	5.357188000000001	8.651112	8.789356	1	1	1
ENSG00000085433.11	WDR47	FALSE	FALSE	FALSE	2	2	0	5.002896	7.828346	6.281096	5.002896	7.828346	6.281096	1	1	1
ENSG00000143106.8	PSMA5	FALSE	FALSE	FALSE	1	1	0	454.449617	584.101582	594.179099	454.449617	584.101582	594.179099	1	1	1
ENSG00000121931.11	LRIF1	FALSE	FALSE	FALSE	1	3	0	2.742544	6.163864	3.933535	16.382821	20.371968	22.535332	0.16740364800421126	0.3025659572997562	0.17454968047508684
ENSG00000155380.7	SLC16A1	FALSE	FALSE	FALSE	1	3	0	6.434798	6.740883	5.131326	6.734866	7.163564	5.467010999999999	0.9554455871876292	0.9409957110734266	0.9385980748895512
ENSG00000009307.11	CSDE1	FALSE	FALSE	FALSE	3	4	0	132.612639	113.036785	102.26957499999999	452.671374	376.342098	327.85360199999997	0.29295565528736084	0.30035647247733627	0.31193671314308147
ENSG00000143061.13	IGSF3	FALSE	FALSE	FALSE	2	3	0	0.179607	0.298904	0.355692	0.179607	0.298904	0.355692	1	1	1
ENSG00000134250.13	NOTCH2	TRUE	FALSE	FALSE	1	1	0	1.043291	4.616342	3.197051	1.043291	4.616342	3.197051	1	1	1
ENSG00000215784.4	FAM72D	FALSE	FALSE	FALSE	1	1	0	12.721283	15.77468	14.725432	12.721283	15.77468	14.725432	1	1	1
ENSG00000117262.14	GPR89A	FALSE	FALSE	FALSE	1	2	0	5.106591	15.323892	19.093687	10.167159999999999	26.974774	36.293544	0.5022632672250659	0.5680823127563552	0.5260904528915666
ENSG00000162836.7	ACP6	FALSE	FALSE	FALSE	1	2	0	1.467448	2.494855	2.691386	1.467448	3.681866	2.691386	1	0.6776061377573219	1
ENSG00000159164.5	SV2A	FALSE	FALSE	FALSE	1	1	0	1.332162	2.629023	2.364144	1.332162	2.629023	2.364144	1	1	1
ENSG00000143401.10	ANP32E	FALSE	FALSE	FALSE	3	4	0	465.273913	329.833554	272.315056	735.8343120000001	519.212772	436.494917	0.6323079875622869	0.6352570117439253	0.6238676451758086
ENSG00000143437.16	ARNT	TRUE	FALSE	FALSE	1	2	0	3.332324	3.124508	2.688187	3.332324	5.819456000000001	2.688187	1	0.53690722981667	1
ENSG00000143418.15	CERS2	FALSE	FALSE	FALSE	1	2	0	7.083379	10.169306	12.349538	7.083379	10.169306	12.452494000000002	1	1	0.9917320980038216
ENSG00000163155.7	LYSMD1	FALSE	FALSE	FALSE	2	2	0	4.37011	8.473022	8.91527	4.37011	8.473022	8.91527	1	1	1
ENSG00000143393.12	PI4KB	FALSE	FALSE	FALSE	3	5	0	9.129491999999999	10.910908	15.908468	13.785264	19.495692000000002	24.38482	0.6622645746936728	0.559657384821221	0.6523922669923337
ENSG00000143442.17	POGZ	FALSE	FALSE	FALSE	1	3	0	0	0.44992	0.274016	17.125738	5.726596	16.268128	0	0.07856674366412437	0.016843732726961574
ENSG00000189171.9	S100A13	FALSE	FALSE	FALSE	1	5	0	0.888832	2.083863	3.45662	137.254292	129.236916	158.82621300000002	0.006475804778476435	0.016124363413314503	0.021763535972490887
ENSG00000143614.7	GATAD2B	FALSE	FALSE	FALSE	1	1	0	13.658976	14.021621	13.220994	13.658976	14.021621	13.220994	1	1	1
ENSG00000143570.13	SLC39A1	FALSE	FALSE	FALSE	1	4	0	3.464218	5.533224	8.820928	3.6194919999999997	6.028633	9.334714	0.9571006096988196	0.9178239909445474	0.9449596420415237
ENSG00000143612.14	C1orf43	FALSE	FALSE	FALSE	1	2	0	9.290335	12.018954	31.407088	262.771158	219.492819	252.424712	0.03535523103338457	0.05475784608698292	0.12442160575783881
ENSG00000160710.11	ADAR	FALSE	FALSE	TRUE	1	2	0	18.787082	17.227303	15.989316	22.887596000000002	22.554645999999998	21.736555000000003	0.8208412102345742	0.7638028546313695	0.7355956820204489
ENSG00000163344.5	PMVK	FALSE	FALSE	FALSE	1	1	0	13.14664	16.926764	19.361379	13.14664	16.926764	19.361379	1	1	1
ENSG00000160767.16	FAM189B	FALSE	FALSE	FALSE	1	2	0	0.745583	0.829392	0.921096	4.436013	6.137236000000001	3.895082	0.1680750259298158	0.13514096573767082	0.23647666467612236
ENSG00000163468.10	CCT3	FALSE	FALSE	FALSE	1	3	0	0.838786	1.975807	4.206139	3059.456447	3587.045566	3609.1635929999998	2.741617717168307e-4	5.508173686801725e-4	0.0011654054718267244
ENSG00000160818.12	GPATCH4	FALSE	FALSE	FALSE	1	1	0	54.232608	55.93619	61.127355	54.232608	55.93619	61.127355	1	1	1
ENSG00000143320.4	CRABP2	FALSE	FALSE	FALSE	2	2	0	120.386087	107.422138	101.723374	120.386087	107.422138	101.723374	1	1	1
ENSG00000143319.12	ISG20L2	FALSE	FALSE	FALSE	2	2	0	33.291584	31.523348	36.027671	33.291584	31.523348	36.027671	1	1	1
ENSG00000132716.14	DCAF8	FALSE	FALSE	FALSE	1	5	0	44.934768	39.611919	37.901465	48.156988	45.440245	43.141994000000004	0.9330892538378853	0.8717364750124037	0.8785283545308545
ENSG00000158769.13	F11R	FALSE	FALSE	FALSE	1	1	0	0.430354	1.264182	1.001754	0.430354	1.264182	1.001754	1	1	1
ENSG00000158773.10	USF1	FALSE	FALSE	FALSE	1	3	0	8.546999	13.960684	12.431162	258.840641	492.985099	532.868566	0.03302031306590683	0.028318673380430107	0.023328758334001637
ENSG00000158796.12	DEDD	FALSE	FALSE	FALSE	3	4	0	2.471044	3.46791	3.3807009999999997	4.195604	7.724164	4.899596	0.5889602545902807	0.4489689758011352	0.6899958690471623
ENSG00000158850.10	B4GALT3	FALSE	FALSE	FALSE	1	2	0	7.487977	8.355692	15.54532	10.936285	11.614851	18.153723	0.6846910993998419	0.7193972613165679	0.8563158091593664
ENSG00000143183.12	TMCO1	FALSE	FALSE	FALSE	1	2	0	295.941647	301.198942	272.813716	295.941647	301.78117	273.358694	1	0.9980706947355265	0.998006363024254
ENSG00000120334.11	CENPL	FALSE	FALSE	FALSE	3	3	0	7.798019999999999	14.317913	15.941399	7.798019999999999	14.317913	15.941399	1	1	1
ENSG00000169905.8	TOR1AIP2	FALSE	FALSE	FALSE	2	2	0	21.718841	19.86787	23.165665	21.718841	19.86787	23.165665	1	1	1
ENSG00000135821.12	GLUL	FALSE	FALSE	FALSE	3	4	0	1.944215	2.180596	2.358753	29.750162	29.665434	30.856799	0.06535140884274848	0.07350629018270893	0.07644192127640978
